Rank,NOC,Gold,Silver,Bronze,Total,Year,Host
35,Chinese Taipei,2,0,5,7,2024,0
36,Austria,2,0,3,5,2024,0
37,Hong Kong,2,0,2,4,2024,0
37,Philippines,2,0,2,4,2024,0
39,Algeria,2,0,1,3,2024,0
39,Indonesia,2,0,1,3,2024,0
41,Israel,1,5,1,7,2024,0
42,Poland,1,4,5,10,2024,0
43,Kazakhstan,1,3,3,7,2024,0
44,Jamaica,1,3,2,6,2024,0
44,South Africa,1,3,2,6,2024,0
44,Thailand,1,3,2,6,2024,0
47,Ethiopia,1,3,0,4,2024,0
48,Switzerland,1,2,5,8,2024,0
49,Ecuador,1,2,2,5,2024,0
50,Portugal,1,2,1,4,2024,0
51,Greece,1,1,6,8,2024,0
52,Argentina,1,1,1,3,2024,0
52,Egypt,1,1,1,3,2024,0
52,Tunisia,1,1,1,3,2024,0
55,Botswana,1,1,0,2,2024,0
55,Chile,1,1,0,2,2024,0
55,Saint Lucia,1,1,0,2,2024,0
55,Uganda,1,1,0,2,2024,0
59,Dominican Republic,1,0,2,3,2024,0
60,Guatemala,1,0,1,2,2024,0
60,Morocco,1,0,1,2,2024,0
62,Dominica,1,0,0,1,2024,0
62,Pakistan,1,0,0,1,2024,0
64,Turkey,0,3,5,8,2024,0
65,Mexico,0,3,2,5,2024,0
66,Armenia,0,3,1,4,2024,0
66,Colombia,0,3,1,4,2024,0
68,Kyrgyzstan,0,2,4,6,2024,0
68,North Korea,0,2,4,6,2024,0
70,Lithuania,0,2,2,4,2024,0
71,India,0,1,5,6,2024,0
72,Moldova,0,1,3,4,2024,0
73,Kosovo,0,1,1,2,2024,0
74,Cyprus,0,1,0,1,2024,0
74,Fiji,0,1,0,1,2024,0
74,Jordan,0,1,0,1,2024,0
74,Mongolia,0,1,0,1,2024,0
74,Panama,0,1,0,1,2024,0
79,Tajikistan,0,0,3,3,2024,0
80,Albania,0,0,2,2,2024,0
80,Grenada,0,0,2,2,2024,0
80,Malaysia,0,0,2,2,2024,0
80,Puerto Rico,0,0,2,2,2024,0
84,Cabo Verde,0,0,1,1,2024,0
84,Ivory Coast,0,0,1,1,2024,0
84,Peru,0,0,1,1,2024,0
84,Qatar,0,0,1,1,2024,0
84,Refugee Olympic Team,0,0,1,1,2024,0
84,Singapore,0,0,1,1,2024,0
84,Slovakia,0,0,1,1,2024,0
84,Zambia,0,0,1,1,2024,0
